"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.0144092219020173,0.348703170028818,0.331412103746398,0.798270893371758,0.0893371757925072,0.0778097982708934
"2. / 1.",0.0547550432276657,0.37463976945245,0.45821325648415,0.801152737752161,0.0778097982708934,0.031700288184438
"1. * 2.",0.037463976945245,0.731988472622478,0.0835734870317003,0.876080691642651,0.0922190201729107,0.00864553314121038
"1. + 2.",0.0835734870317003,0.556195965417867,0.0893371757925072,0.720461095100865,0.115273775216138,0.0230547550432277
"1. - 2.",0.0749279538904899,0.536023054755043,0.135446685878963,0.69164265129683,0.0864553314121038,0.0345821325648415
"2. - 1.",0.0749279538904899,0.536023054755043,0.135446685878963,0.69164265129683,0.0864553314121038,0.0345821325648415
