"","Aa","Ad","AaAa","AaAd","AdAd","NA"
"1. / 2.",0.101851851851852,0.333333333333333,0.0740740740740741,0.12037037037037,0.490740740740741,0.111111111111111
"2. / 1.",0.101851851851852,0.342592592592593,0.138888888888889,0.111111111111111,0.490740740740741,0.0833333333333333
"1. * 2.",0.0555555555555556,0.00925925925925926,0.00925925925925926,0.0833333333333333,0.990740740740741,0
"1. + 2.",0.101851851851852,0.037037037037037,0,0.0555555555555556,0.935185185185185,0.0277777777777778
"1. - 2.",0.0833333333333333,0.0740740740740741,0.0555555555555556,0.111111111111111,0.796296296296296,0.0740740740740741
"2. - 1.",0.0833333333333333,0.0740740740740741,0.0555555555555556,0.111111111111111,0.796296296296296,0.0740740740740741
